scope,source_node_type,source_feature_index,source_feature_name,target_node_type,output_head,output_feature_index,output_feature_name,distance,count,profiles,mean_signed,mean_abs,rms,max_abs,mean_shell_l1,mean_shell_l2_energy,sum_signed,sum_abs,sum_square
all,load,0,pd,bus,0,1,vm,13,1604,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,0,pd,bus,0,1,vm,14,1207,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,0,pd,bus,0,1,vm,15,886,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,0,pd,bus,0,1,vm,16,573,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,0,pd,bus,0,1,vm,17,356,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,0,pd,bus,0,1,vm,18,210,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,0,pd,bus,0,1,vm,19,121,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,0,pd,bus,0,1,vm,20,55,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,0,pd,bus,0,1,vm,21,40,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,0,pd,bus,0,1,vm,22,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,0,pd,bus,0,1,vm,23,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,0,va,0,40,40,0.0642362626065733,0.42190664762456437,0.6920125468532003,2.3580174446105957,0.42190664762456437,0.47888136500225276,2.5694505042629316,16.876265904982574,19.15525460009011
all,load,1,qd,bus,0,0,va,1,94,40,-0.038580844140403525,0.10319715536551233,0.2695665049918247,1.7023605108261108,0.24251331510895396,0.17076533644174252,-3.6265993491979316,9.700532604358159,6.830613457669701
all,load,1,qd,bus,0,0,va,2,216,40,0.002565944076229277,0.015481454311729639,0.04577134425248137,0.28797298669815063,0.08359985328334005,0.011313086155267459,0.5542439204655238,3.343994131333602,0.45252344621069834
all,load,1,qd,bus,0,0,va,3,392,40,-0.0001950828701846687,0.0002102131353305075,0.0009238190020579792,0.006659845821559429,0.0020600887262389733,8.363727175921326e-06,-0.07647248511239013,0.08240354904955893,0.00033454908703685305
all,load,1,qd,bus,0,0,va,4,580,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,0,va,5,806,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,0,va,6,1157,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,0,va,7,1488,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,0,va,8,1866,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,0,va,9,2050,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,0,va,10,2224,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,0,va,11,2130,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,0,va,12,1888,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,0,va,13,1604,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,0,va,14,1207,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,0,va,15,886,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,0,va,16,573,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,0,va,17,356,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,0,va,18,210,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,0,va,19,121,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,0,va,20,55,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,0,va,21,40,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,0,va,22,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,0,va,23,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,1,vm,0,40,40,-0.03388641662895679,0.146796457702294,0.21799289290791923,0.5746291279792786,0.146796457702294,0.047520901358363545,-1.3554566651582718,5.87185830809176,1.9008360543345417
all,load,1,qd,bus,0,1,vm,1,94,40,-0.007611415059147204,0.027043040175525907,0.04782086361864446,0.1798049509525299,0.06355114441248588,0.005374062243497535,-0.7154730155598372,2.5420457764994353,0.2149624897399014
all,load,1,qd,bus,0,1,vm,2,216,40,0.0005701569562911909,0.004789134822475363,0.012692828491608537,0.08198573440313339,0.02586132804136696,0.000869982633633903,0.12315390255889724,1.0344531216546784,0.03479930534535612
all,load,1,qd,bus,0,1,vm,3,392,40,-1.119568793344616e-05,4.31964358865246e-05,0.00014870121846826716,0.0010293046943843365,0.00042332507168794107,2.1669811326468375e-07,-0.004388709669910895,0.016933002867517644,8.66792453058735e-06
all,load,1,qd,bus,0,1,vm,4,580,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,1,vm,5,806,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,1,vm,6,1157,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,1,vm,7,1488,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,1,vm,8,1866,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,1,vm,9,2050,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,1,vm,10,2224,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,1,vm,11,2130,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,1,vm,12,1888,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,1,vm,13,1604,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,1,vm,14,1207,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,1,vm,15,886,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,1,vm,16,573,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,1,vm,17,356,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,1,vm,18,210,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,1,vm,19,121,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,1,vm,20,55,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,1,vm,21,40,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,1,vm,22,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,load,1,qd,bus,0,1,vm,23,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,0,va,0,40,40,-0.10737595590965583,0.2056162917500572,0.6642356450560374,4.083322525024414,0.2056162917500572,0.4412089921630101,-4.295038236386233,8.224651670002288,17.648359686520404
test,load,0,pd,bus,0,0,va,1,94,40,-0.018244998548749558,0.027569642795145788,0.0540693855127738,0.2267647385597229,0.0647886605685926,0.006870221356863039,-1.7150298635824583,2.591546422743704,0.27480885427452156
test,load,0,pd,bus,0,0,va,2,216,40,-0.005995729109027134,0.006624653829257349,0.01625988413058715,0.0860494077205658,0.035773130677989685,0.0014276726924766473,-1.295077487549861,1.4309252271195874,0.05710690769906589
test,load,0,pd,bus,0,0,va,3,392,40,-0.0006211568328655297,0.0006649308088526595,0.0028787782378083505,0.019611625000834465,0.006516321926756064,8.121616859629374e-05,-0.24349347848328762,0.26065287707024254,0.0032486467438517493
test,load,0,pd,bus,0,0,va,4,580,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,0,va,5,806,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,0,va,6,1157,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,0,va,7,1488,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,0,va,8,1866,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,0,va,9,2050,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,0,va,10,2224,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,0,va,11,2130,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,0,va,12,1888,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,0,va,13,1604,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,0,va,14,1207,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,0,va,15,886,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,0,va,16,573,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,0,va,17,356,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,0,va,18,210,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,0,va,19,121,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,0,va,20,55,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,0,va,21,40,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,0,va,22,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,0,va,23,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,0,pd,bus,0,1,vm,0,40,40,-0.013939906641530797,0.037419987751559344,0.05696338808686653,0.25662270188331604,0.037419987751559344,0.003244827582334968,-0.5575962656612319,1.4967995100623739,0.12979310329339871
test,load,0,pd,bus,0,1,vm,1,94,40,0.0012829226219996889,0.007846852949637167,0.014408204618321216,0.07311821728944778,0.01844010443164734,0.0004878514467600201,0.12059472646797076,0.7376041772658937,0.019514057870400805
